,标题,学校,门类/专业,招生人数,发布时间,链接
1086,广东工业大学环境生态工程研究院 2020年硕士研究生调剂信息公告,广东工业大学,工学 -> 环境科学与工程  ,0,2020-02-24 16:36,http://muchong.com/t-14092253-1
1087,大连工业大学 郭静教授团队 材料科学与工程（高分子）2020招收考研调剂 必须考数学,大连工大,工学 -> 材料科学与工程  ,20,2020-02-24 16:16,http://muchong.com/t-14092186-1
1088,广西大学人工智能（机器视觉、模式识别、自然语言处理 ） 课题组有意接受调剂,,工学 -> 软件工程  -> 计算机视觉与应用,0,2020-02-24 16:02,http://muchong.com/t-14092138-1
1089,安徽理工接收调剂研究生,安徽理工,工学 -> 化学工程与技术  -> 化学工程,2,2020-02-24 15:45,http://muchong.com/t-14092085-1
1090,北京有色金属研究总院稀土材料国家工程研究中心 2020年度硕士研究生调剂信息,,工学   ,11,2020-02-24 15:43,http://muchong.com/t-14092076-1
1091,大连工大接收调剂研究生,大连工大,工学   ,4,2020-02-24 15:40,http://muchong.com/t-14092062-1
1092,北京有色金属研究总院稀土材料国家工程研究中心 2020年度硕士研究生调剂信息,,工学   ,11,2020-02-24 15:36,http://muchong.com/t-14092050-1
1093,东北农业大学化学工程与技术一级硕士点应化专业招收调剂学硕,东北农业大学,工学 -> 化学工程与技术  -> 应用化学,1,2020-02-24 15:32,http://muchong.com/t-14092038-1
1094,接收调剂研究生,石河子大学,工学 -> 机械工程  ,1,2020-02-24 14:59,http://muchong.com/t-14091902-1
1095,河北联合大学接收调剂研究生,河北联合大学,工学 -> 矿业工程  -> 矿物加工工程,4,2020-02-24 14:46,http://muchong.com/t-14091866-1
1096,辽宁石化接收调剂研究生,辽宁石化,工学 -> 土木工程  -> 市政工程,1,2020-02-24 14:29,http://muchong.com/t-14091790-1
1097,西京学院西部寒区水工混凝土结构的耐久性研究团队接收土木水利专硕调剂生全额奖学金,西京学院,工学 -> 土木工程  ,10,2020-02-24 14:27,http://muchong.com/t-14091785-1
1098,2020河南理工化学化工学院王元老师课题组接收调剂生,河南理工,工学   ,0,2020-02-24 14:26,http://muchong.com/t-14091782-1
1099,云南农业大学云南省高校城乡水安全与节水减排重点实验室,云南农大,工学 -> 农业工程  ,6,2020-02-24 14:04,http://muchong.com/t-14091690-1
1100,天津科大接收调剂研究生,天津科大,工学 -> 材料科学与工程  -> 材料加工工程,0,2020-02-24 14:04,http://muchong.com/t-14091686-1
1101,河北工程大学绿色增值冶金与低碳功能材料团队招材料工程或冶金工程专硕2名,河北工程,工学 -> 治金工程  -> 材料学,2,2020-02-24 14:03,http://muchong.com/t-14091680-1
1102,上海海事大学材料系招收硕士调剂生(必须考数学一才可以调剂),上海海事,工学 -> 材料科学与工程  -> 材料学,15,2020-02-24 14:01,http://muchong.com/t-14091668-1
1103,河北联合大学接收调剂研究生,河北联合大学,工学 -> 化学工程与技术  -> 化学工程,1,2020-02-24 13:54,http://muchong.com/t-14091644-1
1104,江苏大学能源研究院 蒋伟老师招收化学材料相关专业调剂生2名,江苏大学,工学 -> 化学工程与技术  -> 化学工程,2,2020-02-24 13:50,http://muchong.com/t-14091630-1
1105,石家庄铁道大学接收调剂研究生,石家庄铁道大学,工学 -> 材料科学与工程  -> 材料学,3,2020-02-24 13:49,http://muchong.com/t-14091628-1
1106,广西师范大学计算机与信息工程学院 陈明教授课题组招收计算机与自动化方向调剂生3名,广西师范大学,工学 -> 软件工程  -> 计算机视觉与应用,3,2020-02-24 13:45,http://muchong.com/t-14091609-1
1107,五邑大学接收材料、化学类调剂研究生,五邑大学,工学 -> 材料科学与工程  ,2,2020-02-24 13:27,http://muchong.com/t-14091532-1
1108,2020年齐齐哈尔大学接收化工，材料、环境（工科）方向的研究生，考数学,齐齐哈尔大学,工学 -> 化学工程与技术  -> 化学工程,5,2020-02-24 13:16,http://muchong.com/t-14091500-1
1109,内蒙古科大接收调剂研究生,内蒙古科大,工学 -> 材料科学与工程  -> 材料学,2,2020-02-24 13:10,http://muchong.com/t-14091471-1
1110,招收调剂生,五邑大学,工学 -> 化学工程与技术  -> 化学工程,1,2020-02-24 13:02,http://muchong.com/t-14091449-1
1111,上海海事大学招收硕士研究生-高分子材料与涂料（数一）,上海海事,工学 -> 材料科学与工程  ,2,2020-02-24 13:00,http://muchong.com/t-14091442-1
1112,河北联合大学接收调剂研究生,河北联合大学,工学 -> 矿业工程  -> 矿物加工工程,0,2020-02-24 12:55,http://muchong.com/t-14091422-1
1113,河北联合大学接收调剂研究生,河北联合大学,工学 -> 矿业工程  -> 矿物加工工程,0,2020-02-24 12:55,http://muchong.com/t-14091425-1
1114,河北联合大学接收调剂研究生,河北联合大学,工学 -> 矿业工程  -> 矿物加工工程,0,2020-02-24 12:55,http://muchong.com/t-14091426-1
1115,中国石油大学（北京）接收调剂研究生,中国石油大学（北京）,工学   ,0,2020-02-24 12:41,http://muchong.com/t-14091370-1
1116,河南理工大学化学化工学院王元副教授课题组接收调剂研究生,河南理工,工学 -> 化学工程与技术  -> 应用化学,2,2020-02-24 12:29,http://muchong.com/t-14091327-1
1117,【学硕】福建农林大学计算机科学与技术专业杨长才课题组招收调剂生4名,福建农林大学,工学 -> 计算机科学与技术  ,4,2020-02-24 12:29,http://muchong.com/t-14091329-1
1118,石家庄铁道大学于刚老师课题组招收硕士研究生,石家庄铁道大学,工学 -> 材料科学与工程  ,2,2020-02-24 11:58,http://muchong.com/t-14091175-1
1119,2020上海应用技术大学土木工程学科招收结构工程、桥梁工程方向调剂生,上海应用技术学院,工学 -> 土木工程  -> 结构工程,20,2020-02-24 11:51,http://muchong.com/t-14091147-1
1120,景德镇陶瓷大学冯果副教授招收2020材料/化工调剂生,景德镇陶瓷学院,工学 -> 材料科学与工程  ,3,2020-02-24 11:46,http://muchong.com/t-14091125-1
1121,大连工业大学林海课题组招收调剂研究生,大连工大,工学 -> 材料科学与工程  ,3,2020-02-24 11:41,http://muchong.com/t-14091113-1
1122,石家庄铁道大学吴湘锋老师课题组招收调剂生,石家庄铁道大学,工学   ,2,2020-02-24 11:36,http://muchong.com/t-14091082-1
1123,上海工程技术大学轻质合金精密成形制造课题组招生硕士研究生,上海工程,工学 -> 材料科学与工程  -> 材料加工工程,2,2020-02-24 11:36,http://muchong.com/t-14091080-1
1124,五邑大学接收调剂研究生,五邑大学,工学 -> 化学工程与技术  -> 化学工程,1,2020-02-24 11:36,http://muchong.com/t-14091079-1
1125,西京学院接收调剂研究生,西京学院,工学 -> 机械工程  -> 机械制造及其自动化,10,2020-02-24 11:34,http://muchong.com/t-14091073-1
1126,重庆工商大学 材料/化工/应化/化学/环境等背景研究生调剂需求,重庆工商,工学 -> 材料科学与工程  -> 材料学,3,2020-02-24 11:32,http://muchong.com/t-14091065-1
1127,天津科技大学化工学院分离分析新材料与新技术团队招收2020级硕士研究生,天津科大,工学 -> 化学工程与技术  -> 应用化学,12,2020-02-24 11:22,http://muchong.com/t-14091019-1
1128,渤海大学食品方向沙老师招收调剂生,渤海大学,工学 -> 食品科学与工程  -> 食品科学,1,2020-02-24 11:19,http://muchong.com/t-14090996-1
1129,安徽农业大学生物质分子工程中心接受调剂,安徽农大,工学   ,15,2020-02-24 11:10,http://muchong.com/t-14090955-1
1130,辽宁石油化工大学纳米材料与催化团队招收调剂生,辽宁石化,工学 -> 化学工程与技术  -> 化学工程,5,2020-02-24 11:06,http://muchong.com/t-14090928-1
1131,上海海洋大学，天津农学院和青岛科技大学招生，欢迎报考！,上海海洋大学,工学 -> 环境科学与工程  -> 环境科学,1,2020-02-24 11:04,http://muchong.com/t-14090911-1
1132,上海海洋大学，天津农学院和青岛科技大学招生，欢迎报考！,上海海洋大学,工学 -> 环境科学与工程  -> 环境科学,1,2020-02-24 11:04,http://muchong.com/t-14090912-1
1133,上海海洋大学，天津农学院和青岛科技大学招生,上海海洋大学,工学 -> 环境科学与工程  -> 环境科学,1,2020-02-24 11:04,http://muchong.com/t-14090913-1
1134,青岛理工大学环境专业招生硕士若干名,青岛理工,工学 -> 环境科学与工程  -> 环境科学,4,2020-02-24 10:52,http://muchong.com/t-14090839-1
1135,2020年北京化工大学孙振宇教授课题组接受化工，应化及能源类考研调剂生,北京化工大学,工学 -> 化学工程与技术  ,3,2020-02-24 10:41,http://muchong.com/t-14090776-1
1136,安徽工业大学王雪松老师课题组预接收冶金或材料（非材料成型方向）调剂生1名,安徽工业大学,工学 -> 治金工程  -> 钢铁冶金,1,2020-02-24 10:38,http://muchong.com/t-14090763-1
1137,哈尔滨工程大学信息与通信工程学院光电检测与光通信实验室招收2020级调剂硕士,哈工程,工学 -> 信息与通信工程  ,0,2020-02-24 10:34,http://muchong.com/t-14090745-1
1138,东北石油大学化学化工学院罗明检招收 化工类研究生,东北石油大学,工学 -> 化学工程与技术  ,2,2020-02-24 10:23,http://muchong.com/t-14090698-1
1139,2020年湖南科技大学化学化工学院考研调剂信息公告,湖南科大,工学 -> 化学工程与技术  -> 化学工程,0,2020-02-24 10:05,http://muchong.com/t-14090614-1
1140,安徽工业大学冶金工程学院有色系,安徽工业大学,工学 -> 治金工程  -> 有色金属治金,5,2020-02-24 10:02,http://muchong.com/t-14090593-1
1141,山东大学材料学院王素梅课题组2020年招收硕士研究生,山东大学,工学 -> 材料科学与工程  ,3,2020-02-24 10:01,http://muchong.com/t-14090585-1
1142,上海应用技术学院接收调剂研究生,上海应用技术学院,工学 -> 化学工程与技术  -> 应用化学,3,2020-02-24 09:55,http://muchong.com/t-14090549-1
1143,北京石油化工学院“水下先进连接技术与装备”课题组招生,北京石油化工学院,工学 -> 机械工程  -> 机械制造及其自动化,5,2020-02-24 09:51,http://muchong.com/t-14090529-1
1144,2020燕山大学生物化工、生物化学招生,燕山大学,工学 -> 化学工程与技术  -> 生物化工,5,2020-02-24 09:49,http://muchong.com/t-14090524-1
1145,河南理工大学材料学院绿色建材组接收6名调剂生,河南理工,工学 -> 材料科学与工程  -> 材料学,6,2020-02-24 09:43,http://muchong.com/t-14090492-1
1146,安徽师大接收调剂研究生,安徽师大,工学 -> 环境科学与工程  -> 环境工程,25,2020-02-24 09:43,http://muchong.com/t-14090487-1
1147,南京航空航天大学接收调剂研究生,南京航空航天大学,工学 -> 测绘科学与技术  -> 大地测量学与测量工程,2,2020-02-24 09:25,http://muchong.com/t-14090389-1
1148,燕山大学环境与化学工程学院招收调剂生,燕山大学,工学   ,3,2020-02-24 09:24,http://muchong.com/t-14090384-1
1149,福建师范大学“网络空间安全（0839，工科）”和“应用数学”接收调剂生,福建师范大学,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2020-02-24 09:23,http://muchong.com/t-14090382-1
1150,上海工程技术大学化学化工学院门勇教授招收化学类调剂生,上海工程,工学 -> 化学工程与技术  -> 工业催化,4,2020-02-24 09:21,http://muchong.com/t-14090369-1
1151,上海工程接收金属，材料，材料成型相关专业调剂研究生,上海工程,工学 -> 材料科学与工程  -> 材料加工工程,4,2020-02-24 09:18,http://muchong.com/t-14090353-1
1152,2020年河南理工大学材料学院安全功能凝胶材料课题组诚招高分子方向硕士调剂生,河南理工,工学 -> 材料科学与工程  -> 材料物理与化学,2,2020-02-24 09:15,http://muchong.com/t-14090341-1
1153,东北农业大学诚招农业水土工程、市政工程、环境科学、化学、微生物学等方向硕士研究生,东北农业大学,工学 -> 农业工程  -> 农业水土工程,2,2020-02-24 09:15,http://muchong.com/t-14090335-1
1154,招收调剂生：核科学与技术、环境科学与工程、材料科学与工程等相关专业硕士,西南科大,工学 -> 核科学与技术  ,3,2020-02-24 09:09,http://muchong.com/t-14090307-1
1155,西南科技大学先进能源材料研究团队招收硕士研究生(调剂),西南科大,工学 -> 材料科学与工程  ,4,2020-02-24 09:08,http://muchong.com/t-14090303-1
1156,上海应用技术大学接收高分子材料专业调剂研究生,上海应用技术学院,工学 -> 化学工程与技术  -> 应用化学,4,2020-02-24 09:03,http://muchong.com/t-14090277-1
1157,上海工程技术大学招收接收机械、光学、物理专业研究生3人,上海工程,工学 -> 机械工程  ,3,2020-02-24 08:59,http://muchong.com/t-14090269-1
1158,福建农林大学 材料学院 陈孝云接收化学化工类，材料化学类，木材科学家具类调剂研究生,福建农林大学,工学   ,8,2020-02-24 08:55,http://muchong.com/t-14090250-1
1159,东北石油大学化学化工学院李莉老师招收化学化工、化学方向调剂研究生,东北石油大学,工学   ,2,2020-02-24 08:52,http://muchong.com/t-14090238-1
1160,河南理工大学材料学院建筑材料方向招调剂研究生,河南理工,工学 -> 材料科学与工程  -> 材料学,10,2020-02-24 08:40,http://muchong.com/t-14090190-1
1161,河南理工接收调剂研究生－建材,河南理工,工学 -> 材料科学与工程  -> 材料学,2,2020-02-24 08:34,http://muchong.com/t-14090161-1
1162,2020北京化工大学生物专业招生信息,北京化工大学,工学 -> 生物工程  ,3,2020-02-24 08:34,http://muchong.com/t-14090162-1
1163,山东理工接收调剂研究生,山东理工,工学   -> 材料工程,0,2020-02-24 08:32,http://muchong.com/t-14090157-1
1164,北京化工大学接收调剂研究生,北京化工大学,工学 -> 生物工程  ,3,2020-02-24 08:22,http://muchong.com/t-14090120-1
1165,南京林大接收调剂研究生,南京林大,工学 -> 化学工程与技术  -> 化学工程,0,2020-02-24 08:08,http://muchong.com/t-14090094-1
1166,大连工业大学 郭静教授团队 材料科学与工程（高分子） 招收考研调剂  必须考数学,大连工大,工学 -> 材料科学与工程  ,20,2020-02-24 07:55,http://muchong.com/t-14090057-1
1167,东北石油大学-女王大学（加拿大） 国际合作联合实验室 硕士调剂招生,东北石油大学,工学 -> 化学工程与技术  ,6,2020-02-24 07:03,http://muchong.com/t-14089969-1
1168,陕西理工接收调剂研究生,陕西理工,工学   ,50,2020-02-24 06:53,http://muchong.com/t-14089959-1
